"Package","Version"
"data.table","1.16.2"
"gridExtra","2.3"
"ggtext","0.1.2"
"psych","2.4.6.26"
"patchwork","1.3.0"
"reshape2","1.4.4"
"lubridate","1.9.3"
"forcats","1.0.0"
"stringr","1.5.1"
"purrr","1.0.2"
"readr","2.1.5"
"tidyr","1.3.1"
"tibble","3.2.1"
"tidyverse","2.0.0"
"dplyr","1.1.4"
"zoo","1.8-12"
"progress","1.2.3"
"boot","1.3-31"
"ggpubr","0.6.0"
"magick","2.8.5"
"e1071","1.7-16"
"latex2exp","0.9.6"
"plotly","4.10.4"
"ggplot2","3.5.1"
"igraph","2.1.1"
"ape","5.8"
"extraDistr","1.10.0"
"magrittr","2.0.3"
"roperators","1.3.14"
